prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
Shaan Body Milk 300 ml,230.0,165.0,28.0,4.4
Starville Acne Prone Skin Facial Cleanser 400 ml,225.0,149.0,34.0,4.6
Clary Hair Leave In Cream 300 gm,340.0,249.0,27.0,4.0
Garnier Micellar Water Face Cleanser & Daily Make-up Remover - 400ml,300.0,239.0,20.0,4.4
NIVEA Black & White Invisible Original Antiperspirant Roll-on 50ml,100.0,69.0,31.0,4.4
Starville Whitening Cleanser 400 ml,270.0,179.0,34.0,4.3
LG 43LM6370PVA.AFU Series Full HD HDR Smart LED TV - 43 inch,18.0,14.0,23.0,4.6
Starville Roll On Fresh Breeze 60 ml,150.0,99.0,34.0,4.4
"NIVEA Pearl & Beauty Antiperspirant for Women, 50ml Roll-on with Pearl Extracts",100.0,69.0,31.0,4.3
Samsung 32 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA32H5000FUXEG [2025 Model],11.0,8.0,26.0,4.7
Eva Care Eva Skin Care Senses Body Splash In The Clouds 240 Ml,259.0,183.0,29.0,4.3
Samsung 50 Inch TV Crystal Processor 4K LED - Titan Gray - UA50U8000FUXEG [2025 Model],24.0,18.0,26.0,4.5
HOHO Stainless Steel Electric Kettle - 1.5L - Silver,350.0,249.0,29.0,4.1
Samsung 55 Inch TV Crystal Processor 4K LED - Titan Gray - UA55U8000FUXEG [2025 Model],29.0,20.0,30.0,4.5
Luna Emollient Cream for Hand & Body - Cocoa Butter - 300 gm,195.0,112.0,43.0,4.3
Luna Strawberry Special Lip Moisturizer - 3.5 GM,25.0,18.0,28.0,4.2
L'Oreal Paris eal Paris Hyaluron Expert 1.5% Hyaluronic Acid Serum - 30ml,600.0,449.0,25.0,4.3
Eva Care Eva Skin Care Senses Body Splash Summer Twist 240 Ml,259.0,183.0,29.0,4.2
LG 50 inch UHD AI UA85 4K Smart TV AI Magic remote HDR10 Pro webOS25-50UA85006LA.AFU (2025 Model),26.0,19.0,27.0,4.4
Evolve VLD32NA - 32 Inch HD LED Frameless TV,5.0,4.0,19.0,4.2
Samsung 65 Inch TV Crystal Processor 4K LED - Titan Gray - UA65U8000FUXEG [2025 Model],35.0,25.0,29.0,4.8
Fresh EPK17051P 1.7L Electric Kettle - Black,1.0,850.0,23.0,4.3
Eva Hyaluronic Acid Facial Serum - 30 ml,271.0,195.0,28.0,4.1
Garnier SkinActive Micellar Brightening Cleanser Water With Vitamin C - 400ml,320.0,249.0,22.0,4.3
LG 55 inch UHD AI UA85 4K Smart TV AI Magic remote HDR10 Pro webOS25-55UA85006LA.AFU (2025 Model),31.0,22.0,27.0,4.6
"HOHO 55-Inch Frameless Smart Android TV 4K UHD – Wi-Fi, Built-in Digital Receiver, 3 HDMI, 2 USB- MS5511",17.0,14.0,17.0,3.0
HOHO 32-Inch HD LED Standard TV HK 3205 Black,5.0,4.0,26.0,4.2
Skyline 32-22A - 32-inch HD LED TV - Limited,5.0,4.0,15.0,4.1
Avuva Cherry Body Splash for Women – Refreshing Fragrance 253ml,205.0,131.0,36.0,3.9
Skyline Digital Satellite Receiver Full High Definition HD-555X,,444.0,,
Toshiba GR-RT468WE-DMN(49) - Refrigerators 2D 338L (Lixiue Grey) Tropical Compressor - Pure Bio Filter,22.0,19.0,15.0,3.9
Maybelline Fit Me Matte + Poreless – 124 Soft Sand,530.0,359.0,32.0,4.3
LG 65 Inch UHD AI UA84 ( Without Magic Remote ) 4K Smart TV AI HDR10 WebOS25 2025 - 65UA84006LB,35.0,25.0,28.0,3.8
"Arion 43-Inch Full HD Smart Android TV, A+ Grade Panel, Frameless Design, Wi-Fi, HDMI & USB Connectivity – AR-43 T4S",9.0,8.0,4.0,4.4
"HOHO 24-Inch HD LED TV – IPS Panel, HDMI, USB, AV Input, RF In, VGA, PC Input-HO2406",4.0,3.0,18.0,4.8
"HOHO 43-Inch LED TV FULL HD – 3 HDMI, 2 USB, AV Input, PC Input, Headphone Output-HO4306",9.0,7.0,19.0,5.0
Evolve VLD43NA - FHD LED 43 Inch TV  - Frameless,8.0,7.0,18.0,4.4
"Grouhy UW-18026-BLU Wall Fan - 18 Inch, White and Blue",1.0,880.0,20.0,4.1
"HOHO HOHO 43-Inch Full HD Android Smart LED TV, Model HO4306S1 – Black",10.0,8.0,19.0,3.7
"Pluto 32"" LED TV - Built-in Receiver - 32FXN",5.0,4.0,14.0,3.9
"Luna Makeup Kit - Nail Polish, Collagen Cream, Lipstick, Mascara, and Eyeliner",651.0,399.0,39.0,4.3
Toshiba GR-RT559WE-PMN-(49)-Pro - Refrigerators 2D 411L (Lixiue Grey) Tropical Compressor - Pure Bio Filter,,25.0,,
"HOHO 50-Inch Frameless 4K UHD Smart Android TV – Built-in Digital Receiver, WiFi, 3 HDMI, 2  USB, HS5006SFL",16.0,12.0,20.0,4.0
Grouhy GLD43SA.MGCV2 - 43 Inch Full HD LED Smart Frameless TV With Magic Remote,9.0,8.0,11.0,4.2
Skyline 43NF01 - Full HD Frameless LED TV- 43 Inch - Black,9.0,7.0,14.0,5.0
Luna 3D Tan Glow Bronzing Powder  - No 2,270.0,169.0,37.0,4.5
Haj Arafa Body Splash He - 200ML,415.0,299.0,28.0,5.0
Luna Mono 3D Eye Shadow - Dark Purple Shade 4.5 Gm - No 111,150.0,59.0,61.0,5.0
Samsung 85 Inch TV Crystal Processor 4K LED - Titan Gray - UA85U8000FUXEG [2025 Model],70.0,60.0,14.0,5.0
"Grouhy GLD43NAV2- 43"" Inch Full HD LED Frameless TV.",9.0,7.0,14.0,4.5
Beyond Secret Garden Body Splash 250ML,250.0,159.0,36.0,3.7
Haj Arafa Body Splash Laha - 200ML,415.0,299.0,28.0,3.5
"Samsung 55-Inch Neo QLED 4K Smart TV QA55QN70FAUXEG (2025 Model) – Neural Quantum Processor, 100% Color Volume",45.0,33.0,26.0,5.0
Grouhy GLD32NAV2 – 32 Inch LED HD TV Frameless,5.0,4.0,9.0,4.7
