prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
Shaan Body Milk 300 ml,EGP 230.00,EGP 165.00,28%,4.4 out of 5
Starville Acne Prone Skin Facial Cleanser 400 ml,EGP 225.00,EGP 149.00,34%,4.6 out of 5
Clary Hair Leave In Cream 300 gm,EGP 340.00,EGP 249.00,27%,4 out of 5
Garnier Micellar Water Face Cleanser & Daily Make-up Remover - 400ml,EGP 300.00,EGP 239.00,20%,4.4 out of 5
NIVEA Black & White Invisible Original Antiperspirant Roll-on 50ml,EGP 100.00,EGP 69.00,31%,4.4 out of 5
Starville Whitening Cleanser 400 ml,EGP 270.00,EGP 179.00,34%,4.3 out of 5
LG 43LM6370PVA.AFU Series Full HD HDR Smart LED TV - 43 inch,"EGP 18,999.00","EGP 14,699.00",23%,4.6 out of 5
Starville Roll On Fresh Breeze 60 ml,EGP 150.00,EGP 99.00,34%,4.4 out of 5
"NIVEA Pearl & Beauty Antiperspirant for Women, 50ml Roll-on with Pearl Extracts",EGP 100.00,EGP 69.00,31%,4.3 out of 5
Samsung 32 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA32H5000FUXEG [2025 Model],"EGP 11,699.00","EGP 8,699.00",26%,4.7 out of 5
Eva Care Eva Skin Care Senses Body Splash In The Clouds 240 Ml,EGP 259.00,EGP 183.00,29%,4.3 out of 5
Samsung 50 Inch TV Crystal Processor 4K LED - Titan Gray - UA50U8000FUXEG [2025 Model],"EGP 24,999.00","EGP 18,599.00",26%,4.5 out of 5
HOHO Stainless Steel Electric Kettle - 1.5L - Silver,EGP 350.00,EGP 249.00,29%,4.1 out of 5
Samsung 55 Inch TV Crystal Processor 4K LED - Titan Gray - UA55U8000FUXEG [2025 Model],"EGP 29,999.00","EGP 20,999.00",30%,4.5 out of 5
Luna Emollient Cream for Hand & Body - Cocoa Butter - 300 gm,EGP 195.00,EGP 112.00,43%,4.3 out of 5
Luna Strawberry Special Lip Moisturizer - 3.5 GM,EGP 25.00,EGP 18.00,28%,4.2 out of 5
L'Oreal Paris eal Paris Hyaluron Expert 1.5% Hyaluronic Acid Serum - 30ml,EGP 600.00,EGP 449.00,25%,4.3 out of 5
Eva Care Eva Skin Care Senses Body Splash Summer Twist 240 Ml,EGP 259.00,EGP 183.00,29%,4.2 out of 5
LG 50 inch UHD AI UA85 4K Smart TV AI Magic remote HDR10 Pro webOS25-50UA85006LA.AFU (2025 Model),"EGP 26,499.00","EGP 19,299.00",27%,4.4 out of 5
Evolve VLD32NA - 32 Inch HD LED Frameless TV,"EGP 5,299.00","EGP 4,299.00",19%,4.2 out of 5
Samsung 65 Inch TV Crystal Processor 4K LED - Titan Gray - UA65U8000FUXEG [2025 Model],"EGP 35,999.00","EGP 25,599.00",29%,4.8 out of 5
Fresh EPK17051P 1.7L Electric Kettle - Black,"EGP 1,099.00",EGP 850.00,23%,4.3 out of 5
Eva Hyaluronic Acid Facial Serum - 30 ml,EGP 271.00,EGP 195.00,28%,4.1 out of 5
Garnier SkinActive Micellar Brightening Cleanser Water With Vitamin C - 400ml,EGP 320.00,EGP 249.00,22%,4.3 out of 5
LG 55 inch UHD AI UA85 4K Smart TV AI Magic remote HDR10 Pro webOS25-55UA85006LA.AFU (2025 Model),"EGP 31,099.00","EGP 22,799.00",27%,4.6 out of 5
"HOHO 55-Inch Frameless Smart Android TV 4K UHD – Wi-Fi, Built-in Digital Receiver, 3 HDMI, 2 USB- MS5511","EGP 17,520.00","EGP 14,599.00",17%,3 out of 5
HOHO 32-Inch HD LED Standard TV HK 3205 Black,"EGP 5,800.00","EGP 4,299.00",26%,4.2 out of 5
Skyline 32-22A - 32-inch HD LED TV - Limited,"EGP 5,200.00","EGP 4,444.00",15%,4.1 out of 5
Avuva Cherry Body Splash for Women – Refreshing Fragrance 253ml,EGP 205.50,EGP 131.00,36%,3.9 out of 5
Skyline Digital Satellite Receiver Full High Definition HD-555X,EGP 599.00,EGP 444.00,26%,
